Filename,Satellite,City,Year,Season,Scene_ID,Acquisition_Date,Cloud_Cover,Export_Status
Landsat8_Chennai_2023_Winter_001,Landsat8,Chennai,2023,Winter,LC08_142051_20230222,22-02-2023,0.27,Started
Landsat8_Chennai_2023_Monsoon_001,Landsat8,Chennai,2023,Monsoon,LC08_142051_20230902,02-09-2023,1.12,Started
Landsat8_Chennai_2024_Summer_001,Landsat8,Chennai,2024,Summer,LC08_142051_20240531,31-05-2024,2.34,Started
Landsat8_Chennai_2024_Summer_002,Landsat8,Chennai,2024,Summer,LC08_142051_20240429,29-04-2024,4.53,Started
Landsat8_Bengaluru_2023_Winter_001,Landsat8,Bengaluru,2023,Winter,LC08_144051_20230119,19-01-2023,0.06,Started
Landsat8_Bengaluru_2023_Winter_002,Landsat8,Bengaluru,2023,Winter,LC08_144051_20230204,04-02-2023,0.85,Started
Landsat8_Bengaluru_2023_Winter_003,Landsat8,Bengaluru,2023,Winter,LC08_144051_20230220,20-02-2023,2.52,Started
Landsat8_Bengaluru_2023_Summer_001,Landsat8,Bengaluru,2023,Summer,LC08_144051_20230409,09-04-2023,0.72,Started
Landsat8_Bengaluru_2023_Summer_002,Landsat8,Bengaluru,2023,Summer,LC08_144051_20230527,27-05-2023,1.09,Started
Landsat8_Bengaluru_2023_PostMonsoon_001,Landsat8,Bengaluru,2023,PostMonsoon,LC08_144051_20231018,18-10-2023,0.69,Started
Landsat8_Bengaluru_2024_Winter_001,Landsat8,Bengaluru,2024,Winter,LC08_144051_20240207,07-02-2024,0,Started
Landsat8_Bengaluru_2024_Winter_002,Landsat8,Bengaluru,2024,Winter,LC08_144051_20240122,22-01-2024,0.68,Started
Landsat8_Bengaluru_2024_Winter_003,Landsat8,Bengaluru,2024,Winter,LC08_144051_20240223,23-02-2024,0.71,Started
Landsat8_Bengaluru_2024_Summer_001,Landsat8,Bengaluru,2024,Summer,LC08_144051_20240427,27-04-2024,0,Started
Landsat8_Bengaluru_2024_Summer_002,Landsat8,Bengaluru,2024,Summer,LC08_144051_20240411,11-04-2024,0.15,Started
Landsat8_Hyderabad_2023_Winter_001,Landsat8,Hyderabad,2023,Winter,LC08_144048_20230220,20-02-2023,0.01,Started
Landsat8_Hyderabad_2023_Winter_002,Landsat8,Hyderabad,2023,Winter,LC08_144048_20230204,04-02-2023,0.02,Started
Landsat8_Hyderabad_2023_Winter_003,Landsat8,Hyderabad,2023,Winter,LC08_144048_20230119,19-01-2023,0.06,Started
Landsat8_Hyderabad_2023_Summer_001,Landsat8,Hyderabad,2023,Summer,LC08_144048_20230527,27-05-2023,0.28,Started
Landsat8_Hyderabad_2023_Summer_002,Landsat8,Hyderabad,2023,Summer,LC08_144048_20230409,09-04-2023,0.97,Started
Landsat8_Hyderabad_2023_Summer_003,Landsat8,Hyderabad,2023,Summer,LC08_144048_20230612,12-06-2023,3.16,Started
Landsat8_Hyderabad_2023_PostMonsoon_001,Landsat8,Hyderabad,2023,PostMonsoon,LC08_144048_20231018,18-10-2023,0.9,Started
Landsat8_Hyderabad_2024_Winter_001,Landsat8,Hyderabad,2024,Winter,LC08_144048_20240207,07-02-2024,0.14,Started
Landsat8_Hyderabad_2024_Winter_002,Landsat8,Hyderabad,2024,Winter,LC08_144048_20240106,06-01-2024,2.32,Started
